# test_new_list_list_int():
# RSS was 306,262,016 now 526,671,872 diff: +220,409,856
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000333      0.000001092      0.000000458      0.000001358      0.000003500       10.511        166.5
4                   5      0.000000459      0.000000492      0.000000500      0.000000035      0.000000542        1.181        114.8
8                   5      0.000000708      0.000000741      0.000000750      0.000000035      0.000000791        1.117         88.5
16                  5      0.000001208      0.000001250      0.000001250      0.000000030      0.000001292        1.070         75.5
32                  5      0.000002208      0.000002275      0.000002209      0.000000091      0.000002375        1.076         69.0
64                  5      0.000004125      0.000004142      0.000004125      0.000000023      0.000004167        1.010         64.5
128                 5      0.000008125      0.000008233      0.000008167      0.000000152      0.000008500        1.046         63.5
256                 5      0.000015750      0.000015825      0.000015792      0.000000080      0.000015958        1.013         61.5
512                 5      0.000035125      0.000036141      0.000035166      0.000002181      0.000040041        1.140         68.6
1024                5      0.000074083      0.000074908      0.000074375      0.000001384      0.000077375        1.044         72.3
2048                5      0.000152541      0.000154667      0.000152625      0.000004612      0.000162916        1.068         74.5
4096                5      0.000307750      0.000314450      0.000308083      0.000012186      0.000335958        1.092         75.1
8192                5      0.000617417      0.000629100      0.000618292      0.000024568      0.000673042        1.090         75.4
16384               5      0.001237375      0.001263100      0.001240917      0.000052679      0.001357250        1.097         75.5
32768               5      0.002479000      0.002528833      0.002488875      0.000096180      0.002700708        1.089         75.7
65536               5      0.004956125      0.005075425      0.005004042      0.000207757      0.005444125        1.098         75.6
131072              5      0.010208625      0.010433375      0.010393958      0.000285816      0.010907375        1.068         77.9
262144              5      0.021105542      0.021541400      0.021792958      0.000385405      0.021846042        1.035         80.5
524288              5      0.044851667      0.045151566      0.044955083      0.000363343      0.045625416        1.017         85.5
1048576             5      0.098106500      0.098746233      0.098425333      0.000703834      0.099859750        1.018         93.6
