# RSS was 1,006,612,480 now 677,171,200 diff: -329,441,280
# test_new_list_list_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000958      0.000002200      0.000001042      0.000002592      0.000006834        7.134        479.0
4                   5      0.000001708      0.000001758      0.000001750      0.000000069      0.000001875        1.098        427.0
8                   5      0.000003166      0.000003491      0.000003208      0.000000680      0.000004708        1.487        395.7
16                  5      0.000005958      0.000006808      0.000006000      0.000001808      0.000010042        1.685        372.4
32                  5      0.000011833      0.000012608      0.000011834      0.000001710      0.000015667        1.324        369.8
64                  5      0.000031000      0.000032233      0.000032416      0.000000910      0.000033292        1.074        484.4
128                 5      0.000049875      0.000055667      0.000050208      0.000008789      0.000070000        1.404        389.6
256                 5      0.000097542      0.000098800      0.000099292      0.000001023      0.000099834        1.023        381.0
512                 5      0.000193209      0.000216442      0.000195416      0.000049028      0.000304125        1.574        377.4
1024                5      0.000388333      0.000444483      0.000389667      0.000123950      0.000666209        1.716        379.2
2048                5      0.000776417      0.000893467      0.000778583      0.000256732      0.001352708        1.742        379.1
4096                5      0.001594166      0.001787408      0.001693500      0.000200107      0.002029792        1.273        389.2
8192                5      0.003580542      0.003604492      0.003605500      0.000015810      0.003620542        1.011        437.1
16384               5      0.007448708      0.008087967      0.007728459      0.000801169      0.009458875        1.270        454.6
32768               5      0.021553292      0.022003642      0.021646917      0.000578893      0.022874917        1.061        657.8
65536               5      0.062104709      0.063555617      0.063829000      0.000876927      0.064440750        1.038        947.6
131072              5      0.144661458      0.146317042      0.145650459      0.001543450      0.148194834        1.024       1103.7
262144              5      0.312682000      0.314462733      0.314682708      0.001217589      0.315650000        1.009       1192.8
524288              5      0.648320459      0.671169600      0.664552417      0.019986642      0.699209708        1.078       1236.6
1048576             5      1.934343750      2.036493691      2.038206375      0.081235295      2.127621083        1.100       1844.7
RSS was 1,006,612,480 now 677,183,488 diff: -329,428,992
