# RSS was 933,830,656 now 1,220,165,632 diff: +286,334,976
# test_new_list_list_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000542      0.000002625      0.000000583      0.000004542      0.000010750       19.834        271.0
4                   5      0.000000875      0.000000900      0.000000875      0.000000037      0.000000958        1.095        218.7
8                   5      0.000001500      0.000001533      0.000001500      0.000000054      0.000001625        1.083        187.5
16                  5      0.000002750      0.000002892      0.000002792      0.000000249      0.000003333        1.212        171.9
32                  5      0.000005208      0.000005425      0.000005209      0.000000485      0.000006292        1.208        162.7
64                  5      0.000010208      0.000010367      0.000010208      0.000000354      0.000011000        1.078        159.5
128                 5      0.000024209      0.000024800      0.000024542      0.000000708      0.000026000        1.074        189.1
256                 5      0.000048458      0.000049558      0.000048958      0.000001687      0.000052500        1.083        189.3
512                 5      0.000097833      0.000099641      0.000098625      0.000002289      0.000103583        1.059        191.1
1024                5      0.000167333      0.000189541      0.000199625      0.000015370      0.000200833        1.200        163.4
2048                5      0.000335834      0.000336883      0.000336709      0.000001217      0.000338833        1.009        164.0
4096                5      0.000670208      0.000672967      0.000674125      0.000002408      0.000675334        1.008        163.6
8192                5      0.001332167      0.001350842      0.001347833      0.000023366      0.001389917        1.043        162.6
16384               5      0.002673417      0.002776075      0.002743125      0.000153518      0.003043125        1.138        163.2
32768               5      0.006137208      0.006279850      0.006300750      0.000082762      0.006338875        1.033        187.3
65536               5      0.014565583      0.014714200      0.014693000      0.000107411      0.014820250        1.017        222.3
131072              5      0.029969833      0.032081533      0.032627167      0.001214897      0.032933167        1.099        228.7
262144              5      0.058393334      0.059042042      0.058477667      0.001238878      0.061251917        1.049        222.8
524288              5      0.119674958      0.121003133      0.120992750      0.000895633      0.121892208        1.019        228.3
1048576             5      0.242896792      0.244763233      0.244887708      0.001121733      0.245754458        1.012        231.6
