# RSS was 1,643,294,720 now 1,640,366,080 diff: -2,928,640
# test_new_list_list_str() String length 2
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000541      0.000001400      0.000000625      0.000001692      0.000004417        8.165        270.5
4                   5      0.000000708      0.000000750      0.000000750      0.000000051      0.000000833        1.177        177.0
8                   5      0.000001166      0.000001208      0.000001208      0.000000051      0.000001292        1.108        145.8
16                  5      0.000002083      0.000002159      0.000002084      0.000000146      0.000002417        1.160        130.2
32                  5      0.000003791      0.000003817      0.000003792      0.000000056      0.000003917        1.033        118.5
64                  5      0.000007250      0.000007858      0.000007292      0.000001035      0.000009666        1.333        113.3
128                 5      0.000014250      0.000014408      0.000014333      0.000000220      0.000014792        1.038        111.3
256                 5      0.000028250      0.000028300      0.000028291      0.000000055      0.000028375        1.004        110.4
512                 5      0.000056792      0.000057300      0.000057000      0.000000771      0.000058666        1.033        110.9
1024                5      0.000114333      0.000114675      0.000114500      0.000000451      0.000115459        1.010        111.7
2048                5      0.000228125      0.000228633      0.000228250      0.000000789      0.000230000        1.008        111.4
4096                5      0.000455250      0.000456067      0.000456125      0.000000854      0.000457417        1.005        111.1
8192                5      0.000911584      0.000912959      0.000912667      0.000001409      0.000915167        1.004        111.3
16384               5      0.001822916      0.001824900      0.001823500      0.000003399      0.001830959        1.004        111.3
32768               5      0.003645584      0.003749208      0.003661541      0.000131046      0.003897250        1.069        111.3
65536               5      0.007802209      0.007886808      0.007934833      0.000076650      0.007954291        1.019        119.1
131072              5      0.015913500      0.016212183      0.016263084      0.000268301      0.016485458        1.036        121.4
262144              5      0.035494583      0.035515725      0.035515208      0.000013855      0.035531334        1.001        135.4
524288              5      0.068246834      0.070786508      0.070293708      0.002442202      0.073785250        1.081        130.2
1048576             5      0.140932083      0.151920192      0.150425959      0.007952970      0.160135375        1.136        134.4
