# test_new_list_vector_bool()
# RSS was 85,008,384 now 135,401,472 diff: +50,393,088
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000333      0.000001000      0.000000459      0.000001218      0.000003167        9.510        166.5
4                   5      0.000000375      0.000000408      0.000000375      0.000000054      0.000000500        1.333         93.7
8                   5      0.000000459      0.000000517      0.000000500      0.000000047      0.000000583        1.270         57.4
16                  5      0.000000625      0.000000700      0.000000666      0.000000081      0.000000834        1.334         39.1
32                  5      0.000001000      0.000001025      0.000001000      0.000000038      0.000001084        1.084         31.3
64                  5      0.000001708      0.000001867      0.000001750      0.000000262      0.000002333        1.366         26.7
128                 5      0.000003125      0.000003225      0.000003125      0.000000224      0.000003625        1.160         24.4
256                 5      0.000005875      0.000005950      0.000005875      0.000000146      0.000006209        1.057         22.9
512                 5      0.000011416      0.000011475      0.000011417      0.000000081      0.000011583        1.015         22.3
1024                5      0.000022333      0.000022575      0.000022459      0.000000358      0.000023208        1.039         21.8
2048                5      0.000044584      0.000046075      0.000044625      0.000003266      0.000051917        1.164         21.8
4096                5      0.000088792      0.000089450      0.000088875      0.000001310      0.000091792        1.034         21.7
8192                5      0.000177916      0.000178617      0.000178000      0.000001250      0.000180834        1.016         21.7
16384               5      0.000356917      0.000362542      0.000363375      0.000004483      0.000367000        1.028         21.8
32768               5      0.000708584      0.000723792      0.000727292      0.000008757      0.000730666        1.031         21.6
65536               5      0.001428250      0.001448534      0.001452084      0.000017109      0.001471500        1.030         21.8
131072              5      0.002831458      0.002866208      0.002837791      0.000058791      0.002969292        1.049         21.6
262144              5      0.005726375      0.005869159      0.005906042      0.000082377      0.005928042        1.035         21.8
524288              5      0.011383500      0.011973233      0.011512833      0.001075781      0.013886625        1.220         21.7
1048576             5      0.022798750      0.024112517      0.023980167      0.001407980      0.026272083        1.152         21.7
