# test_new_list_vector_bool():
# RSS was 74,768,384 now 91,602,944 diff: +16,834,560
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000333      0.000000783      0.000000416      0.000000806      0.000002209        6.634        166.5
4                   5      0.000000333      0.000000350      0.000000333      0.000000038      0.000000417        1.252         83.3
8                   5      0.000000333      0.000000375      0.000000375      0.000000051      0.000000459        1.378         41.6
16                  5      0.000000417      0.000000458      0.000000458      0.000000029      0.000000500        1.199         26.1
32                  5      0.000000583      0.000000641      0.000000625      0.000000047      0.000000708        1.214         18.2
64                  5      0.000000958      0.000001000      0.000001000      0.000000042      0.000001042        1.088         15.0
128                 5      0.000001708      0.000001850      0.000001709      0.000000294      0.000002375        1.391         13.3
256                 5      0.000003083      0.000003117      0.000003084      0.000000054      0.000003208        1.041         12.0
512                 5      0.000005833      0.000005883      0.000005834      0.000000112      0.000006083        1.043         11.4
1024                5      0.000011334      0.000011400      0.000011375      0.000000105      0.000011584        1.022         11.1
2048                5      0.000022292      0.000022517      0.000022334      0.000000411      0.000023250        1.043         10.9
4096                5      0.000044500      0.000044792      0.000044542      0.000000560      0.000045792        1.029         10.9
8192                5      0.000088625      0.000089700      0.000088708      0.000002151      0.000093541        1.055         10.8
16384               5      0.000177459      0.000177575      0.000177542      0.000000126      0.000177792        1.002         10.8
32768               5      0.000353916      0.000357842      0.000354667      0.000005104      0.000364625        1.030         10.8
65536               5      0.000706125      0.000708642      0.000706334      0.000005302      0.000718125        1.017         10.8
131072              5      0.001414833      0.001417350      0.001415125      0.000005164      0.001426583        1.008         10.8
262144              5      0.002826542      0.002832500      0.002832750      0.000003945      0.002837208        1.004         10.8
524288              5      0.005688917      0.005959583      0.005857291      0.000340916      0.006555458        1.152         10.9
1048576             5      0.011356917      0.011733592      0.011373625      0.000812239      0.013186500        1.161         10.8
