# RSS was 128,118,784 now 414,150,656 diff: +286,031,872
# test_new_list_vector_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001000      0.000002092      0.000001041      0.000002281      0.000006167        6.167        500.0
4                   5      0.000001666      0.000001800      0.000001708      0.000000229      0.000002208        1.325        416.5
8                   5      0.000003000      0.000003192      0.000003000      0.000000406      0.000003917        1.306        375.0
16                  5      0.000005750      0.000006141      0.000005833      0.000000692      0.000007375        1.283        359.4
32                  5      0.000011125      0.000011275      0.000011167      0.000000244      0.000011709        1.052        347.7
64                  5      0.000022583      0.000027650      0.000023000      0.000009785      0.000045083        1.996        352.9
128                 5      0.000045833      0.000054200      0.000046917      0.000017061      0.000084709        1.848        358.1
256                 5      0.000093000      0.000109967      0.000093167      0.000037520      0.000177083        1.904        363.3
512                 5      0.000185875      0.000214367      0.000186125      0.000063313      0.000327625        1.763        363.0
1024                5      0.000362458      0.000427150      0.000362625      0.000128338      0.000655541        1.809        354.0
2048                5      0.000740375      0.000862016      0.000741583      0.000269950      0.001344916        1.817        361.5
4096                5      0.001706209      0.002253817      0.001721500      0.000746978      0.003187375        1.868        416.6
8192                5      0.003300792      0.003770742      0.003399292      0.000580438      0.004494750        1.362        402.9
16384               5      0.015048750      0.015745133      0.015276375      0.000976765      0.017379375        1.155        918.5
32768               5      0.032403667      0.035709983      0.036177250      0.002329680      0.038306250        1.182        988.9
65536               5      0.067515542      0.069077175      0.068731167      0.002051829      0.072603375        1.075       1030.2
131072              5      0.137350042      0.145601000      0.145326708      0.007294661      0.154918041        1.128       1047.9
262144              5      0.276523542      0.287812658      0.283435208      0.012670086      0.308393750        1.115       1054.9
524288              5      0.569945959      0.599181658      0.590257500      0.027494908      0.639309500        1.122       1087.1
1048576             5      1.202680542      1.241204183      1.240556500      0.027496064      1.275154625        1.060       1147.0
RSS was 128,118,784 now 414,150,656 diff: +286,031,872
