# test_new_list_vector_complex()
# RSS was 170,254,336 now 230,555,648 diff: +60,301,312
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000416      0.000001500      0.000000500      0.000002128      0.000005292       12.721        208.0
4                   5      0.000000459      0.000000534      0.000000459      0.000000167      0.000000833        1.815        114.7
8                   5      0.000000542      0.000000633      0.000000625      0.000000095      0.000000792        1.461         67.8
16                  5      0.000000792      0.000001208      0.000000833      0.000000862      0.000002750        3.472         49.5
32                  5      0.000001292      0.000001742      0.000001333      0.000000937      0.000003416        2.644         40.4
64                  5      0.000002125      0.000002358      0.000002167      0.000000430      0.000003125        1.471         33.2
128                 5      0.000004041      0.000004167      0.000004084      0.000000234      0.000004583        1.134         31.6
256                 5      0.000007750      0.000007900      0.000007792      0.000000268      0.000008375        1.081         30.3
512                 5      0.000014958      0.000015158      0.000015000      0.000000334      0.000015750        1.053         29.2
1024                5      0.000029750      0.000030892      0.000029834      0.000002322      0.000035042        1.178         29.1
2048                5      0.000058958      0.000059200      0.000059041      0.000000404      0.000059917        1.016         28.8
4096                5      0.000117083      0.000117917      0.000117500      0.000001095      0.000119833        1.023         28.6
8192                5      0.000233584      0.000234617      0.000234625      0.000000817      0.000235833        1.010         28.5
16384               5      0.000467875      0.000468525      0.000468208      0.000000999      0.000470291        1.005         28.6
32768               5      0.000931250      0.000934308      0.000934875      0.000001742      0.000935625        1.005         28.4
65536               5      0.001867333      0.001892666      0.001871083      0.000051034      0.001983917        1.062         28.5
131072              5      0.005565083      0.007641567      0.007720834      0.001676572      0.009937375        1.786         42.5
262144              5      0.008666833      0.008748084      0.008753125      0.000058429      0.008830209        1.019         33.1
524288              5      0.018556084      0.019744592      0.019541958      0.001447174      0.022152041        1.194         35.4
1048576             5      0.038733042      0.041204533      0.039338500      0.004746152      0.049678042        1.283         36.9
