# test_new_list_vector_float()
# RSS was 95,268,864 now 145,113,088 diff: +49,844,224
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000500      0.000001308      0.000000583      0.000001559      0.000004083        8.166        250.0
4                   5      0.000000500      0.000000617      0.000000542      0.000000192      0.000000958        1.916        125.0
8                   5      0.000000583      0.000000692      0.000000667      0.000000155      0.000000958        1.643         72.9
16                  5      0.000000833      0.000000908      0.000000833      0.000000146      0.000001167        1.401         52.1
32                  5      0.000001250      0.000001533      0.000001333      0.000000473      0.000002375        1.900         39.1
64                  5      0.000002250      0.000002767      0.000002250      0.000001087      0.000004708        2.093         35.2
128                 5      0.000004500      0.000004900      0.000004541      0.000000757      0.000006250        1.389         35.2
256                 5      0.000010083      0.000010250      0.000010125      0.000000305      0.000010791        1.070         39.4
512                 5      0.000021167      0.000021350      0.000021208      0.000000318      0.000021917        1.035         41.3
1024                5      0.000043584      0.000044250      0.000043708      0.000001192      0.000046375        1.064         42.6
2048                5      0.000088500      0.000089283      0.000088583      0.000001659      0.000092250        1.042         43.2
4096                5      0.000177292      0.000177892      0.000177375      0.000001225      0.000180083        1.016         43.3
8192                5      0.000354667      0.000355917      0.000355417      0.000001273      0.000357709        1.009         43.3
16384               5      0.000710125      0.000711242      0.000710750      0.000001532      0.000713917        1.005         43.3
32768               5      0.001421209      0.001457067      0.001423209      0.000073842      0.001589000        1.118         43.4
65536               5      0.002848166      0.002913450      0.002849333      0.000140794      0.003165250        1.111         43.5
131072              5      0.005714209      0.005966917      0.005947875      0.000271442      0.006402166        1.120         43.6
262144              5      0.010864209      0.011614034      0.011469084      0.000539622      0.012215667        1.124         41.4
524288              5      0.023372417      0.024352925      0.024012416      0.000970407      0.025656666        1.098         44.6
1048576             5      0.053146000      0.055508734      0.055875292      0.001616926      0.057325667        1.079         50.7
