# test_new_list_vector_int()
# RSS was 83,234,816 now 130,199,552 diff: +46,964,736
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000333      0.000000950      0.000000417      0.000001112      0.000002916        8.757        166.5
4                   5      0.000000333      0.000000383      0.000000375      0.000000068      0.000000500        1.501         83.3
8                   5      0.000000375      0.000000433      0.000000416      0.000000087      0.000000584        1.557         46.9
16                  5      0.000000500      0.000000517      0.000000500      0.000000023      0.000000542        1.084         31.3
32                  5      0.000000708      0.000000875      0.000000750      0.000000281      0.000001375        1.942         22.1
64                  5      0.000001208      0.000001600      0.000001250      0.000000783      0.000003000        2.483         18.9
128                 5      0.000002166      0.000002300      0.000002208      0.000000231      0.000002708        1.250         16.9
256                 5      0.000003833      0.000003909      0.000003834      0.000000146      0.000004167        1.087         15.0
512                 5      0.000011416      0.000011917      0.000011500      0.000000959      0.000013625        1.194         22.3
1024                5      0.000026291      0.000027266      0.000026375      0.000002041      0.000030916        1.176         25.7
2048                5      0.000056375      0.000058233      0.000056500      0.000003923      0.000065250        1.157         27.5
4096                5      0.000116208      0.000121000      0.000116209      0.000010691      0.000140125        1.206         28.4
8192                5      0.000235416      0.000242175      0.000235667      0.000014810      0.000268667        1.141         28.7
16384               5      0.000473875      0.000487800      0.000474333      0.000030416      0.000542208        1.144         28.9
32768               5      0.000951042      0.000982792      0.000965583      0.000051741      0.001074083        1.129         29.0
65536               5      0.001904250      0.001958133      0.001909042      0.000112522      0.002159375        1.134         29.1
131072              5      0.004294708      0.004370392      0.004359375      0.000065796      0.004438084        1.033         32.8
262144              5      0.009047167      0.009130650      0.009088875      0.000095050      0.009274291        1.025         34.5
524288              5      0.019130917      0.019346842      0.019190458      0.000307470      0.019866208        1.038         36.5
1048576             5      0.039688958      0.041563817      0.040265833      0.002217621      0.044909334        1.132         37.9
