# test_new_list_vector_int():
# RSS was 91,602,944 now 143,773,696 diff: +52,170,752
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000292      0.000000942      0.000000375      0.000001204      0.000003084       10.562        146.0
4                   5      0.000000333      0.000000408      0.000000334      0.000000145      0.000000666        2.000         83.3
8                   5      0.000000375      0.000000433      0.000000416      0.000000086      0.000000583        1.555         46.9
16                  5      0.000000500      0.000000550      0.000000500      0.000000090      0.000000708        1.416         31.3
32                  5      0.000000750      0.000000867      0.000000750      0.000000261      0.000001333        1.777         23.4
64                  5      0.000001209      0.000001683      0.000001250      0.000000993      0.000003458        2.860         18.9
128                 5      0.000002125      0.000002292      0.000002167      0.000000260      0.000002750        1.294         16.6
256                 5      0.000003959      0.000004067      0.000004000      0.000000197      0.000004417        1.116         15.5
512                 5      0.000011166      0.000011358      0.000011209      0.000000319      0.000011916        1.067         21.8
1024                5      0.000025417      0.000026484      0.000025500      0.000002269      0.000030542        1.202         24.8
2048                5      0.000054375      0.000055325      0.000054417      0.000002031      0.000058958        1.084         26.6
4096                5      0.000111875      0.000113500      0.000112000      0.000003425      0.000119625        1.069         27.3
8192                5      0.000225125      0.000232108      0.000225458      0.000015127      0.000259167        1.151         27.5
16384               5      0.000452583      0.000457183      0.000452792      0.000009868      0.000474833        1.049         27.6
32768               5      0.000908875      0.000922067      0.000910583      0.000024229      0.000965209        1.062         27.7
65536               5      0.001821917      0.001883133      0.001840750      0.000110168      0.002079208        1.141         27.8
131072              5      0.003903000      0.003965625      0.003911917      0.000120240      0.004179875        1.071         29.8
262144              5      0.008681375      0.008811150      0.008727625      0.000143130      0.008991209        1.036         33.1
524288              5      0.018209208      0.018410283      0.018234250      0.000302215      0.018920333        1.039         34.7
1048576             5      0.038346208      0.040362967      0.040620000      0.002027503      0.043211792        1.127         36.6
