# RSS was 373,972,992 now 625,176,576 diff: +251,203,584
# test_new_list_vector_str16() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000541      0.000003175      0.000000542      0.000005842      0.000013625       25.186        270.5
4                   5      0.000000750      0.000001450      0.000000792      0.000001519      0.000004167        5.556        187.5
8                   5      0.000001125      0.000001942      0.000001167      0.000001734      0.000005042        4.482        140.6
16                  5      0.000001958      0.000003050      0.000002000      0.000002372      0.000007292        3.724        122.4
32                  5      0.000003541      0.000003950      0.000003583      0.000000844      0.000005459        1.542        110.7
64                  5      0.000006583      0.000007475      0.000006584      0.000001971      0.000011000        1.671        102.9
128                 5      0.000012875      0.000013642      0.000012875      0.000001600      0.000016500        1.282        100.6
256                 5      0.000025375      0.000025658      0.000025375      0.000000588      0.000026708        1.053         99.1
512                 5      0.000050916      0.000052400      0.000051667      0.000001775      0.000055250        1.085         99.4
1024                5      0.000102291      0.000104200      0.000102458      0.000002924      0.000109083        1.066         99.9
2048                5      0.000204292      0.000210292      0.000204542      0.000011945      0.000231583        1.134         99.8
4096                5      0.000409042      0.000418417      0.000409292      0.000019765      0.000453750        1.109         99.9
8192                5      0.000818417      0.000827992      0.000818625      0.000020124      0.000863958        1.056         99.9
16384               5      0.001631375      0.001663175      0.001640125      0.000059601      0.001769542        1.085         99.6
32768               5      0.003265250      0.003328058      0.003293000      0.000082570      0.003460333        1.060         99.6
65536               5      0.007124542      0.007281817      0.007183834      0.000211862      0.007623834        1.070        108.7
131072              5      0.015060500      0.015595358      0.015509708      0.000410962      0.016126250        1.071        114.9
262144              5      0.035140000      0.036317883      0.036547750      0.000666030      0.036784375        1.047        134.0
524288              5      0.075172666      0.076562650      0.075957417      0.001694442      0.079483084        1.057        143.4
1048576             5      0.143938916      0.150915650      0.152002333      0.006692339      0.160741750        1.117        137.3
