# RSS was 308,957,184 now 156,672,000 diff: -152,285,184
# test_new_list_vector_str32() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001209      0.000002467      0.000001250      0.000002652      0.000007208        5.962        604.5
4                   5      0.000001917      0.000002108      0.000002000      0.000000273      0.000002584        1.348        479.3
8                   5      0.000003625      0.000003891      0.000003666      0.000000527      0.000004833        1.333        453.1
16                  5      0.000008000      0.000008458      0.000008500      0.000000427      0.000009083        1.135        500.0
32                  5      0.000016167      0.000016500      0.000016583      0.000000300      0.000016917        1.046        505.2
64                  5      0.000031458      0.000031742      0.000031709      0.000000216      0.000032042        1.019        491.5
128                 5      0.000062041      0.000062850      0.000062167      0.000001092      0.000064417        1.038        484.7
256                 5      0.000121542      0.000122667      0.000122792      0.000000837      0.000123583        1.017        474.8
512                 5      0.000246125      0.000263184      0.000273959      0.000015584      0.000275542        1.120        480.7
1024                5      0.000567750      0.000682158      0.000672084      0.000124086      0.000879250        1.549        554.4
2048                5      0.001166584      0.001248875      0.001195250      0.000098597      0.001368417        1.173        569.6
4096                5      0.002695166      0.003282417      0.002970000      0.000840505      0.004765375        1.768        658.0
8192                5      0.008733375      0.009422691      0.009420833      0.000425180      0.009777458        1.120       1066.1
16384               5      0.032952917      0.033371567      0.033280458      0.000565081      0.034330708        1.042       2011.3
32768               5      0.080726916      0.084573983      0.083666292      0.003031648      0.088389000        1.095       2463.6
65536               5      0.184871042      0.191934817      0.187714708      0.011130721      0.211725209        1.145       2820.9
131072              5      0.396480625      0.399433100      0.399170416      0.001976666      0.401354959        1.012       3024.9
262144              5      0.825018000      0.853751267      0.854182542      0.027245203      0.882470333        1.070       3147.2
524288              5      2.900032708      2.989565183      2.980193417      0.090426072      3.124838208        1.078       5531.4
1048576             5      6.643242667      7.020795850      6.890113250      0.383258978      7.443423291        1.120       6335.5
RSS was 308,957,184 now 157,413,376 diff: -151,543,808
