# RSS was 388,685,824 now 336,240,640 diff: -52,445,184
# test_new_list_vector_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000958      0.000002575      0.000001042      0.000003248      0.000008375        8.742        479.0
4                   5      0.000001625      0.000001775      0.000001667      0.000000268      0.000002250        1.385        406.2
8                   5      0.000002958      0.000004308      0.000003000      0.000002949      0.000009584        3.240        369.7
16                  5      0.000005375      0.000006008      0.000005500      0.000001187      0.000008125        1.512        335.9
32                  5      0.000010500      0.000010700      0.000010584      0.000000291      0.000011208        1.067        328.1
64                  5      0.000021833      0.000023508      0.000022375      0.000002563      0.000028000        1.282        341.1
128                 5      0.000044459      0.000044767      0.000044708      0.000000280      0.000045166        1.016        347.3
256                 5      0.000084417      0.000099400      0.000088958      0.000023637      0.000141083        1.671        329.8
512                 5      0.000163250      0.000197325      0.000164875      0.000069635      0.000321750        1.971        318.8
1024                5      0.000326417      0.000387767      0.000326709      0.000136066      0.000631167        1.934        318.8
2048                5      0.000651709      0.000788359      0.000651750      0.000293573      0.001313250        2.015        318.2
4096                5      0.001373833      0.001481608      0.001408916      0.000193820      0.001827000        1.330        335.4
8192                5      0.003289708      0.003365775      0.003354875      0.000065285      0.003469041        1.055        401.6
16384               5      0.008736333      0.009637625      0.009889583      0.000513362      0.009946250        1.138        533.2
32768               5      0.029319709      0.030069692      0.029757459      0.001011537      0.031812666        1.085        894.8
65536               5      0.068880500      0.070050200      0.069670334      0.001219314      0.072048083        1.046       1051.0
131072              5      0.146414458      0.150584808      0.150411792      0.003489452      0.156085291        1.066       1117.1
262144              5      0.323549250      0.326986316      0.326349041      0.003292168      0.330599167        1.022       1234.2
524288              5      0.650633208      0.709760025      0.702999833      0.069577185      0.819966042        1.260       1241.0
1048576             5      2.128795125      2.316605775      2.241897833      0.183204339      2.535897209        1.191       2030.2
RSS was 388,685,824 now 337,289,216 diff: -51,396,608
