# RSS was 384,790,528 now 543,813,632 diff: +159,023,104
# test_new_list_vector_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000667      0.000003225      0.000000708      0.000005582      0.000013209       19.805        333.5
4                   5      0.000000958      0.000001408      0.000001000      0.000000871      0.000002958        3.088        239.5
8                   5      0.000001500      0.000002042      0.000001583      0.000001072      0.000003958        2.639        187.5
16                  5      0.000002708      0.000003017      0.000002750      0.000000621      0.000004125        1.523        169.3
32                  5      0.000005042      0.000005458      0.000005042      0.000000740      0.000006750        1.339        157.6
64                  5      0.000009375      0.000009858      0.000009416      0.000001035      0.000011709        1.249        146.5
128                 5      0.000019208      0.000021017      0.000019417      0.000002424      0.000024458        1.273        150.1
256                 5      0.000038125      0.000039317      0.000038333      0.000001638      0.000041792        1.096        148.9
512                 5      0.000077208      0.000079958      0.000078250      0.000003554      0.000085417        1.106        150.8
1024                5      0.000153583      0.000158458      0.000153833      0.000009165      0.000174708        1.138        150.0
2048                5      0.000305917      0.000314842      0.000307334      0.000016842      0.000344917        1.127        149.4
4096                5      0.000609208      0.000627617      0.000614958      0.000033153      0.000686750        1.127        148.7
8192                5      0.001216250      0.001258883      0.001237792      0.000068449      0.001379833        1.134        148.5
16384               5      0.002430542      0.002538450      0.002514292      0.000152430      0.002800750        1.152        148.3
32768               5      0.006343541      0.006426575      0.006436917      0.000047948      0.006459959        1.018        193.6
65536               5      0.014888625      0.015147525      0.015185792      0.000158124      0.015276875        1.026        227.2
131072              5      0.025877625      0.028225325      0.026903292      0.002700205      0.031234084        1.207        197.4
262144              5      0.052361500      0.054975933      0.054694625      0.002016508      0.057895625        1.106        199.7
524288              5      0.107928750      0.114243733      0.113136458      0.006141511      0.122968041        1.139        205.9
1048576             5      0.208026792      0.226525058      0.228338833      0.013520467      0.245432500        1.180        198.4
