# RSS was 1,960,599,552 now 1,905,713,152 diff: -54,886,400
# test_new_set_bytes() Byte length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002333      0.000004075      0.000002500      0.000003526      0.000010375        4.447       1166.5
4                   5      0.000005375      0.000005683      0.000005583      0.000000448      0.000006458        1.201       1343.8
8                   5      0.000009334      0.000009767      0.000009458      0.000000766      0.000011125        1.192       1166.8
16                  5      0.000017709      0.000018225      0.000017958      0.000000691      0.000019417        1.096       1106.8
32                  5      0.000034042      0.000035792      0.000034291      0.000003208      0.000041500        1.219       1063.8
64                  5      0.000067459      0.000073633      0.000067958      0.000012381      0.000095750        1.419       1054.0
128                 5      0.000130458      0.000142500      0.000131791      0.000023718      0.000184833        1.417       1019.2
256                 5      0.000264625      0.000285842      0.000265500      0.000044883      0.000366083        1.383       1033.7
512                 5      0.000529833      0.000572983      0.000531459      0.000090654      0.000735042        1.387       1034.8
1024                5      0.001052500      0.001141208      0.001058500      0.000173807      0.001450917        1.379       1027.8
2048                5      0.002170792      0.002353533      0.002184084      0.000364982      0.003004708        1.384       1060.0
4096                5      0.004806334      0.005019309      0.004830709      0.000280359      0.005341042        1.111       1173.4
8192                5      0.010587417      0.011012567      0.011022417      0.000301769      0.011437125        1.080       1292.4
16384               5      0.023622500      0.023979708      0.023797792      0.000439899      0.024664917        1.044       1441.8
32768               5      0.060915958      0.061993675      0.061469083      0.001330170      0.064034750        1.051       1859.0
65536               5      0.137460916      0.141299342      0.140793417      0.003531938      0.145171459        1.056       2097.5
131072              5      0.306791417      0.317310192      0.315305542      0.009649594      0.332591042        1.084       2340.6
262144              5      0.670733542      0.698154825      0.693838125      0.020215344      0.723537583        1.079       2558.6
524288              5      1.337604791      1.529927175      1.373518375      0.282594637      2.005878375        1.500       2551.3
1048576             5      3.869567292      4.259311600      4.236523709      0.266439245      4.536816208        1.172       3690.3
