# RSS was 1,561,202,688 now 1,960,599,552 diff: +399,396,864
# test_new_set_bytes() Byte length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001125      0.000003984      0.000001250      0.000006113      0.000014917       13.260        562.5
4                   5      0.000001875      0.000002258      0.000001916      0.000000682      0.000003458        1.844        468.7
8                   5      0.000003250      0.000003658      0.000003333      0.000000675      0.000004834        1.487        406.2
16                  5      0.000006042      0.000006475      0.000006166      0.000000612      0.000007500        1.241        377.6
32                  5      0.000011833      0.000013150      0.000012000      0.000002427      0.000017458        1.475        369.8
64                  5      0.000022584      0.000023625      0.000022875      0.000001519      0.000026250        1.162        352.9
128                 5      0.000049000      0.000051650      0.000050083      0.000003530      0.000057750        1.179        382.8
256                 5      0.000098209      0.000100342      0.000099084      0.000002698      0.000104792        1.067        383.6
512                 5      0.000207333      0.000211317      0.000210625      0.000004693      0.000218750        1.055        404.9
1024                5      0.000402625      0.000406008      0.000404500      0.000003256      0.000410708        1.020        393.2
2048                5      0.000824958      0.000837250      0.000834916      0.000012881      0.000858667        1.041        402.8
4096                5      0.001507500      0.001518167      0.001519417      0.000007336      0.001526708        1.013        368.0
8192                5      0.003085792      0.003115575      0.003129834      0.000023981      0.003138125        1.017        376.7
16384               5      0.006181417      0.006290483      0.006265417      0.000136551      0.006525833        1.056        377.3
32768               5      0.014204958      0.015519950      0.015844541      0.000735445      0.015872916        1.117        433.5
65536               5      0.034914916      0.036878675      0.035764209      0.002117328      0.039663917        1.136        532.8
131072              5      0.090675458      0.093794208      0.093842542      0.001956664      0.095743666        1.056        691.8
262144              5      0.215439084      0.219492142      0.221410291      0.003656966      0.222991583        1.035        821.8
524288              5      0.473382500      0.486750417      0.481764125      0.015228130      0.512894209        1.083        902.9
1048576             5      1.055960583      1.062812475      1.064380042      0.005352534      1.068387459        1.012       1007.0
