# test_new_set_complex()
# RSS was 1,162,420,224 now 1,321,877,504 diff: +159,457,280
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000003042      0.000001042      0.000004709      0.000011459       15.279        375.0
4                   5      0.000001041      0.000001375      0.000001125      0.000000584      0.000002417        2.322        260.2
8                   5      0.000001750      0.000001983      0.000001792      0.000000367      0.000002625        1.500        218.7
16                  5      0.000002833      0.000003333      0.000003083      0.000000824      0.000004792        1.692        177.1
32                  5      0.000005375      0.000006142      0.000005583      0.000001417      0.000008667        1.612        168.0
64                  5      0.000009917      0.000010625      0.000010458      0.000000941      0.000012250        1.235        155.0
128                 5      0.000018958      0.000019558      0.000019292      0.000000828      0.000021000        1.108        148.1
256                 5      0.000036542      0.000037583      0.000036791      0.000001572      0.000040292        1.103        142.7
512                 5      0.000070333      0.000073350      0.000070667      0.000006123      0.000084291        1.198        137.4
1024                5      0.000153041      0.000156042      0.000153959      0.000004369      0.000163375        1.068        149.5
2048                5      0.000324291      0.000329050      0.000327167      0.000005400      0.000338083        1.043        158.3
4096                5      0.000643209      0.000651909      0.000650709      0.000008412      0.000665666        1.035        157.0
8192                5      0.001275084      0.001279833      0.001277042      0.000006897      0.001292000        1.013        155.6
16384               5      0.002513791      0.002533658      0.002538625      0.000011778      0.002542333        1.011        153.4
32768               5      0.005177125      0.005209408      0.005200500      0.000038850      0.005276750        1.019        158.0
65536               5      0.010258459      0.010325250      0.010335750      0.000040289      0.010363209        1.010        156.5
131072              5      0.022618709      0.023626700      0.022954625      0.001141583      0.025230875        1.115        172.6
262144              5      0.060848083      0.061244083      0.060925459      0.000495688      0.061819833        1.016        232.1
524288              5      0.190336208      0.194505583      0.194511500      0.004880163      0.202287417        1.063        363.0
1048576             5      0.419492375      0.425518092      0.424704667      0.007277597      0.437830583        1.044        400.1
