# test_new_set_float()
# RSS was 1,017,004,032 now 1,197,506,560 diff: +180,502,528
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000666      0.000003241      0.000000750      0.000005436      0.000012958       19.456        333.0
4                   5      0.000000917      0.000001183      0.000000958      0.000000482      0.000002042        2.227        229.3
8                   5      0.000001541      0.000001725      0.000001625      0.000000261      0.000002166        1.406        192.6
16                  5      0.000002416      0.000002533      0.000002417      0.000000238      0.000002958        1.224        151.0
32                  5      0.000004375      0.000004992      0.000004542      0.000001104      0.000006959        1.591        136.7
64                  5      0.000007625      0.000007975      0.000007625      0.000000672      0.000009167        1.202        119.1
128                 5      0.000015417      0.000027675      0.000015625      0.000025984      0.000074125        4.808        120.4
256                 5      0.000031375      0.000031558      0.000031458      0.000000218      0.000031833        1.015        122.6
512                 5      0.000066417      0.000067400      0.000066750      0.000001659      0.000070334        1.059        129.7
1024                5      0.000139792      0.000141267      0.000140042      0.000002515      0.000145709        1.042        136.5
2048                5      0.000286458      0.000287366      0.000287375      0.000000776      0.000288583        1.007        139.9
4096                5      0.000539333      0.000547400      0.000541291      0.000012629      0.000569167        1.055        131.7
8192                5      0.001143500      0.001181758      0.001191250      0.000023121      0.001203542        1.053        139.6
16384               5      0.002285000      0.002300192      0.002306375      0.000010144      0.002308292        1.010        139.5
32768               5      0.004701250      0.004717292      0.004718791      0.000012012      0.004733708        1.007        143.5
65536               5      0.009148292      0.009264750      0.009287583      0.000066681      0.009307792        1.017        139.6
131072              5      0.019158000      0.019340100      0.019312250      0.000158937      0.019538417        1.020        146.2
262144              5      0.039389042      0.041760933      0.040554375      0.002727581      0.045713416        1.161        150.3
524288              5      0.086185750      0.088739683      0.087891167      0.002507785      0.092501750        1.073        164.4
1048576             5      0.201352416      0.203828866      0.203999875      0.002115602      0.206924666        1.028        192.0
