# test_new_set_int()
# RSS was 711,737,344 now 1,047,588,864 diff: +335,851,520
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000583      0.000009208      0.000000750      0.000018799      0.000042833       73.476        291.5
4                   5      0.000000792      0.000002458      0.000000834      0.000003588      0.000008875       11.206        198.0
8                   5      0.000001291      0.000001408      0.000001292      0.000000217      0.000001792        1.388        161.4
16                  5      0.000002000      0.000002917      0.000002000      0.000002004      0.000006500        3.250        125.0
32                  5      0.000003500      0.000042050      0.000003542      0.000085735      0.000195417       55.833        109.4
64                  5      0.000006000      0.000006492      0.000006083      0.000000939      0.000008167        1.361         93.7
128                 5      0.000011375      0.000011508      0.000011458      0.000000165      0.000011791        1.037         88.9
256                 5      0.000020875      0.000021208      0.000020959      0.000000541      0.000022166        1.062         81.5
512                 5      0.000045917      0.000046925      0.000046042      0.000001912      0.000050333        1.096         89.7
1024                5      0.000097166      0.000101066      0.000100291      0.000003946      0.000107666        1.108         94.9
2048                5      0.000213458      0.000218983      0.000218750      0.000003814      0.000222666        1.043        104.2
4096                5      0.000423458      0.000432317      0.000433333      0.000005202      0.000437125        1.032        103.4
8192                5      0.000855500      0.000864967      0.000865166      0.000006067      0.000871667        1.019        104.4
16384               5      0.001679334      0.001697134      0.001700292      0.000012038      0.001710416        1.019        102.5
32768               5      0.003221208      0.003388825      0.003492625      0.000145485      0.003498375        1.086         98.3
65536               5      0.006168500      0.006204475      0.006214167      0.000031490      0.006241042        1.012         94.1
131072              5      0.012980583      0.014067058      0.013564292      0.001477531      0.016630875        1.281         99.0
262144              5      0.026402042      0.027826317      0.027003292      0.002040055      0.031378666        1.188        100.7
524288              5      0.059557875      0.061076858      0.060627000      0.001493448      0.063417667        1.065        113.6
1048576             5      0.122122667      0.125030291      0.122687708      0.004576935      0.132886583        1.088        116.5
