# RSS was 1,250,131,968 now 2,145,456,128 diff: +895,324,160
# test_new_set_str() String length 1024
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000002500      0.000004317      0.000002583      0.000003741      0.000011000        4.400       1250.0
4                   5      0.000004625      0.000005017      0.000004791      0.000000625      0.000006125        1.324       1156.3
8                   5      0.000008917      0.000009258      0.000009000      0.000000626      0.000010375        1.164       1114.6
16                  5      0.000017458      0.000018233      0.000017792      0.000000957      0.000019791        1.134       1091.1
32                  5      0.000034833      0.000036175      0.000035250      0.000002237      0.000040125        1.152       1088.5
64                  5      0.000070083      0.000071825      0.000070500      0.000002144      0.000074250        1.059       1095.0
128                 5      0.000141209      0.000143842      0.000142584      0.000003124      0.000149041        1.055       1103.2
256                 5      0.000281375      0.000283875      0.000282666      0.000003118      0.000289084        1.027       1099.1
512                 5      0.000569625      0.000573966      0.000571208      0.000005948      0.000584125        1.025       1112.5
1024                5      0.001134291      0.001139217      0.001137834      0.000005582      0.001148375        1.012       1107.7
2048                5      0.002330500      0.002363908      0.002357667      0.000030061      0.002412125        1.035       1137.9
4096                5      0.004898959      0.005097009      0.005124959      0.000117514      0.005214625        1.064       1196.0
8192                5      0.011159208      0.011847116      0.012017416      0.000385578      0.012044292        1.079       1362.2
16384               5      0.025468334      0.025517842      0.025523166      0.000047285      0.025589500        1.005       1554.5
32768               5      0.068776167      0.070158900      0.070251292      0.000896510      0.071290667        1.037       2098.9
65536               5      0.157532292      0.159520709      0.159805917      0.001389232      0.161008375        1.022       2403.8
131072              5      0.343684583      0.348506883      0.348031833      0.004371670      0.355612583        1.035       2622.1
262144              5      0.721457041      0.731951525      0.726390083      0.015532766      0.759458125        1.053       2752.1
524288              5      1.495031792      1.521633275      1.500266833      0.043377032      1.598115667        1.069       2851.5
1048576             5      4.009715417      4.427952908      4.262331375      0.391980301      4.978755584        1.242       3824.0
