# RSS was 617,123,840 now 1,041,043,456 diff: +423,919,616
# test_new_set_str() String length 128
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000001042      0.000006633      0.000001125      0.000012340      0.000028708       27.551        521.0
4                   5      0.000001875      0.000002167      0.000001875      0.000000585      0.000003208        1.711        468.7
8                   5      0.000003500      0.000003891      0.000003583      0.000000652      0.000005041        1.440        437.5
16                  5      0.000006667      0.000007108      0.000006833      0.000000693      0.000008333        1.250        416.7
32                  5      0.000012959      0.000014408      0.000013167      0.000002634      0.000019083        1.473        405.0
64                  5      0.000024500      0.000025417      0.000024959      0.000001328      0.000027750        1.133        382.8
128                 5      0.000053416      0.000055150      0.000054333      0.000002181      0.000058750        1.100        417.3
256                 5      0.000106916      0.000109358      0.000107750      0.000002851      0.000112708        1.054        417.6
512                 5      0.000218667      0.000223025      0.000221375      0.000005355      0.000231708        1.060        427.1
1024                5      0.000409417      0.000435775      0.000445542      0.000017519      0.000451625        1.103        399.8
2048                5      0.000849875      0.000855400      0.000852250      0.000006900      0.000866792        1.020        415.0
4096                5      0.001678167      0.001691642      0.001690209      0.000009819      0.001704917        1.016        409.7
8192                5      0.003463000      0.003495625      0.003490125      0.000039326      0.003560250        1.028        422.7
16384               5      0.007034792      0.007182842      0.007089625      0.000172710      0.007389334        1.050        429.4
32768               5      0.015587291      0.016608483      0.016864208      0.000570998      0.016878333        1.083        475.7
65536               5      0.038631375      0.040596975      0.041055500      0.001102807      0.041205583        1.067        589.5
131072              5      0.100342291      0.103686792      0.105299000      0.002973343      0.106760125        1.064        765.6
262144              5      0.237174125      0.240680184      0.238280417      0.004266821      0.247038334        1.042        904.7
524288              5      0.530312375      0.534867775      0.533164250      0.004733905      0.542689625        1.023       1011.5
1048576             5      1.165340750      1.170601691      1.170073333      0.005552087      1.179875708        1.012       1111.4
