# RSS was 337,903,616 now 848,789,504 diff: +510,885,888
# test_new_set_str() String length 16
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000750      0.000003858      0.000000917      0.000006534      0.000015541       20.723        375.0
4                   5      0.000001209      0.000001559      0.000001291      0.000000548      0.000002500        2.068        302.3
8                   5      0.000001959      0.000002500      0.000002042      0.000000964      0.000004208        2.148        244.9
16                  5      0.000003583      0.000004800      0.000003750      0.000002421      0.000009125        2.547        223.9
32                  5      0.000006791      0.000008808      0.000007041      0.000003824      0.000015625        2.301        212.2
64                  5      0.000012583      0.000013450      0.000012958      0.000001134      0.000015375        1.222        196.6
128                 5      0.000025417      0.000026867      0.000026125      0.000001821      0.000029916        1.177        198.6
256                 5      0.000048375      0.000052275      0.000049417      0.000006826      0.000064416        1.332        189.0
512                 5      0.000105000      0.000115525      0.000110959      0.000011805      0.000135458        1.290        205.1
1024                5      0.000212167      0.000221467      0.000216000      0.000015714      0.000249291        1.175        207.2
2048                5      0.000444084      0.000469258      0.000451958      0.000043812      0.000547208        1.232        216.8
4096                5      0.000888791      0.000926692      0.000897917      0.000067004      0.001045875        1.177        217.0
8192                5      0.001779167      0.001904992      0.001792416      0.000212747      0.002275125        1.279        217.2
16384               5      0.003466916      0.003558475      0.003480416      0.000183528      0.003886625        1.121        211.6
32768               5      0.007372042      0.007685884      0.007413000      0.000588689      0.008735625        1.185        225.0
65536               5      0.015000083      0.015329758      0.015143208      0.000512599      0.016239958        1.083        228.9
131072              5      0.036280167      0.037309442      0.036733292      0.001579090      0.040109209        1.106        276.8
262144              5      0.104257208      0.107494125      0.105663958      0.003791445      0.112033125        1.075        397.7
524288              5      0.282520334      0.286989684      0.286579292      0.003246914      0.291220875        1.031        538.9
1048576             5      0.703748500      0.710302208      0.707304625      0.006747024      0.720546708        1.024        671.1
