# test_new_str()
# RSS was 71,241,728 now 72,351,744 diff: +1,110,016
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000166      0.000000392      0.000000250      0.000000279      0.000000834        5.024         83.0
4                   5      0.000000208      0.000000217      0.000000208      0.000000019      0.000000250        1.202         52.0
8                   5      0.000000167      0.000000217      0.000000208      0.000000045      0.000000291        1.743         20.9
16                  5      0.000000166      0.000000175      0.000000167      0.000000019      0.000000208        1.253         10.4
32                  5      0.000000250      0.000000317      0.000000250      0.000000149      0.000000583        2.332          7.8
64                  5      0.000000250      0.000000275      0.000000250      0.000000037      0.000000333        1.332          3.9
128                 5      0.000000250      0.000000308      0.000000250      0.000000131      0.000000542        2.168          2.0
256                 5      0.000000292      0.000000717      0.000000333      0.000000881      0.000002292        7.850          1.1
512                 5      0.000000417      0.000000509      0.000000417      0.000000162      0.000000792        1.899          0.8
1024                5      0.000000458      0.000000508      0.000000459      0.000000074      0.000000625        1.365          0.4
2048                5      0.000000500      0.000000558      0.000000542      0.000000063      0.000000666        1.332          0.2
4096                5      0.000000666      0.000000733      0.000000708      0.000000104      0.000000916        1.375          0.2
8192                5      0.000001000      0.000001058      0.000001000      0.000000109      0.000001250        1.250          0.1
16384               5      0.000001666      0.000001767      0.000001667      0.000000201      0.000002125        1.276          0.1
32768               5      0.000003042      0.000003233      0.000003083      0.000000339      0.000003833        1.260          0.1
65536               5      0.000006875      0.000007117      0.000006958      0.000000383      0.000007792        1.133          0.1
131072              5      0.000013666      0.000014700      0.000013667      0.000002129      0.000018500        1.354          0.1
262144              5      0.000026792      0.000026992      0.000026833      0.000000338      0.000027584        1.030          0.1
524288              5      0.000053417      0.000053767      0.000053666      0.000000321      0.000054125        1.013          0.1
1048576             5      0.000107250      0.000154858      0.000113084      0.000096596      0.000327500        3.054          0.1
