# test_new_str16()
# RSS was 54,816,768 now 54,837,248 diff: +20,480
# Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
#$1             $2                  $3              $4              $5              $6                  $7          $8          $9
Size            Count              Min             Mean           Median         Std.Dev.              Max      Max/Min  Min/Size e9
2                   5      0.000000166      0.000000375      0.000000250      0.000000260      0.000000750        4.518         83.0
4                   5      0.000000166      0.000000175      0.000000167      0.000000019      0.000000209        1.259         41.5
8                   5      0.000000166      0.000000192      0.000000167      0.000000037      0.000000250        1.506         20.8
16                  5      0.000000166      0.000000175      0.000000167      0.000000019      0.000000208        1.253         10.4
32                  5      0.000000208      0.000000292      0.000000250      0.000000118      0.000000500        2.404          6.5
64                  5      0.000000208      0.000000266      0.000000250      0.000000047      0.000000333        1.601          3.3
128                 5      0.000000208      0.000000250      0.000000250      0.000000051      0.000000333        1.601          1.6
256                 5      0.000000291      0.000000408      0.000000292      0.000000261      0.000000875        3.007          1.1
512                 5      0.000000416      0.000000517      0.000000417      0.000000201      0.000000875        2.103          0.8
1024                5      0.000000333      0.000000425      0.000000375      0.000000116      0.000000625        1.877          0.3
2048                5      0.000000375      0.000000442      0.000000375      0.000000127      0.000000667        1.779          0.2
4096                5      0.000000500      0.000000542      0.000000500      0.000000093      0.000000709        1.418          0.1
8192                5      0.000000625      0.000001067      0.000000625      0.000000965      0.000002792        4.467          0.1
16384               5      0.000001000      0.000002175      0.000001042      0.000002489      0.000006625        6.625          0.1
32768               5      0.000001709      0.000002634      0.000001791      0.000001861      0.000005959        3.487          0.1
65536               5      0.000004333      0.000004592      0.000004375      0.000000366      0.000005167        1.192          0.1
131072              5      0.000008167      0.000008625      0.000008250      0.000000704      0.000009833        1.204          0.1
262144              5      0.000016000      0.000016716      0.000016208      0.000001085      0.000018583        1.161          0.1
524288              5      0.000032166      0.000032450      0.000032250      0.000000435      0.000033209        1.032          0.1
1048576             5      0.000063792      0.000064825      0.000063917      0.000001649      0.000067667        1.061          0.1
