/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.305 now:     21.422 diff:    +16.117 Peak was:      5.305 now:     21.422 diff:    +16.117 test_perf_vector_to_py_list_multiple<bool>
RSS(Mb): was:     21.422 now:     37.352 diff:    +15.930 Peak was:     21.422 now:     37.391 diff:    +15.969 test_perf_vector_to_py_list_multiple<long>
RSS(Mb): was:     37.352 now:     25.582 diff:    -11.770 Peak was:     37.391 now:     65.770 diff:    +28.379 test_perf_vector_to_py_list_multiple<double>
RSS(Mb): was:     25.582 now:     31.777 diff:     +6.195 Peak was:     65.770 now:     65.770 diff:     +0.000 test_perf_py_list_to_vector_multiple<bool>
RSS(Mb): was:     31.777 now:     25.625 diff:     -6.152 Peak was:     65.770 now:     65.770 diff:     +0.000 test_perf_py_list_to_vector_multiple<long>
RSS(Mb): was:     25.625 now:     25.676 diff:     +0.051 Peak was:     65.770 now:     65.770 diff:     +0.000 test_perf_py_list_to_vector_multiple<double>
RSS(Mb): was:     25.676 now:    176.965 diff:   +151.289 Peak was:     65.770 now:   9286.867 diff:  +9221.098 test_perf_vector_string_to_py_list_multiple
RSS(Mb): was:    176.977 now:    168.184 diff:     -8.793 Peak was:   9286.867 now:   9308.961 diff:    +22.094 test_perf_py_list_to_vector_string_multiple
====RSS(Mb): was:      5.305 now:    168.207 diff:   +162.902 Peak was:      5.305 now:   9308.961 diff:  +9303.656 ==== test_performance.cpp
Number of tests: 294
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       1       5     0.000001304     0.000002425     0.000000067     0.000006152         5     3835238.2 test_vector_to_py_list_multiple<bool>[1]
TEST:    0       2       5     0.000000079     0.000000011     0.000000069     0.000000096         5    63532401.5 test_vector_to_py_list_multiple<bool>[2]
TEST:    0       4       5     0.000000086     0.000000013     0.000000075     0.000000109         5    57937427.6 test_vector_to_py_list_multiple<bool>[4]
TEST:    0       8       5     0.000000110     0.000000026     0.000000090     0.000000162         5    45330915.7 test_vector_to_py_list_multiple<bool>[8]
TEST:    0      16       5     0.000000143     0.000000024     0.000000123     0.000000189         5    34891835.3 test_vector_to_py_list_multiple<bool>[16]
TEST:    0      32       5     0.000000200     0.000000029     0.000000172     0.000000250         5    25062656.6 test_vector_to_py_list_multiple<bool>[32]
TEST:    0      64       5     0.000000288     0.000000025     0.000000270     0.000000336         5    17367141.4 test_vector_to_py_list_multiple<bool>[64]
TEST:    0     128       5     0.000000650     0.000000218     0.000000522     0.000001084         5     7698229.4 test_vector_to_py_list_multiple<bool>[128]
TEST:    0     256       5     0.000001011     0.000000036     0.000000960     0.000001067         5     4944131.3 test_vector_to_py_list_multiple<bool>[256]
TEST:    0     512       5     0.000002343     0.000001036     0.000001814     0.000004416         5     2133743.0 test_vector_to_py_list_multiple<bool>[512]
TEST:    0    1024       5     0.000003522     0.000000060     0.000003469     0.000003637         5     1419527.0 test_vector_to_py_list_multiple<bool>[1024]
TEST:    0    2048       5     0.000008150     0.000002629     0.000006821     0.000013407         5      613504.5 test_vector_to_py_list_multiple<bool>[2048]
TEST:    0    4096       5     0.000016316     0.000005574     0.000013487     0.000027463         5      306438.3 test_vector_to_py_list_multiple<bool>[4096]
TEST:    0    8192       5     0.000027296     0.000000388     0.000027026     0.000028066         5      183173.7 test_vector_to_py_list_multiple<bool>[8192]
TEST:    0   16384       5     0.000064683     0.000020948     0.000054158     0.000106579         5       77300.2 test_vector_to_py_list_multiple<bool>[16384]
TEST:    0   32768       5     0.000133246     0.000038150     0.000108417     0.000207253         5       37524.6 test_vector_to_py_list_multiple<bool>[32768]
TEST:    0   65536       5     0.000258824     0.000084676     0.000211646     0.000427482         5       19318.1 test_vector_to_py_list_multiple<bool>[65536]
TEST:    0  131072       5     0.000503815     0.000150718     0.000425131     0.000805114         5        9924.3 test_vector_to_py_list_multiple<bool>[131072]
TEST:    0  262144       5     0.000993041     0.000357231     0.000786122     0.001706623         5        5035.0 test_vector_to_py_list_multiple<bool>[262144]
TEST:    0  524288       5     0.001944095     0.000624920     0.001531276     0.003186785         5        2571.9 test_vector_to_py_list_multiple<bool>[524288]
TEST:    0 1048576       5     0.003783448     0.001234840     0.003089434     0.006248239         5        1321.5 test_vector_to_py_list_multiple<bool>[1048576]
TEST:    0       1       5     0.000000635     0.000001128     0.000000059     0.000002891         5     7880220.6 test_vector_to_py_list_multiple<long>[1]
TEST:    0       2       5     0.000000082     0.000000011     0.000000069     0.000000102         5    61199510.4 test_vector_to_py_list_multiple<long>[2]
TEST:    0       4       5     0.000000120     0.000000079     0.000000072     0.000000277         5    41841004.2 test_vector_to_py_list_multiple<long>[4]
TEST:    0       8       5     0.000000172     0.000000159     0.000000092     0.000000491         5    29052876.2 test_vector_to_py_list_multiple<long>[8]
TEST:    0      16       5     0.000000199     0.000000113     0.000000133     0.000000425         5    25113008.5 test_vector_to_py_list_multiple<long>[16]
TEST:    0      32       5     0.000000278     0.000000151     0.000000202     0.000000580         5    17979144.2 test_vector_to_py_list_multiple<long>[32]
TEST:    0      64       5     0.000000417     0.000000114     0.000000346     0.000000645         5    11987533.0 test_vector_to_py_list_multiple<long>[64]
TEST:    0     128       5     0.000000748     0.000000100     0.000000663     0.000000931         5     6683598.4 test_vector_to_py_list_multiple<long>[128]
TEST:    0     256       5     0.000001340     0.000000040     0.000001292     0.000001408         5     3731064.8 test_vector_to_py_list_multiple<long>[256]
TEST:    0     512       5     0.000002525     0.000000105     0.000002447     0.000002728         5     1980119.6 test_vector_to_py_list_multiple<long>[512]
TEST:    0    1024       5     0.000004910     0.000000093     0.000004767     0.000005014         5     1018267.7 test_vector_to_py_list_multiple<long>[1024]
TEST:    0    2048       5     0.000009708     0.000000344     0.000009411     0.000010307         5      515044.4 test_vector_to_py_list_multiple<long>[2048]
TEST:    0    4096       5     0.000021565     0.000005441     0.000018742     0.000032445         5      231860.4 test_vector_to_py_list_multiple<long>[4096]
TEST:    0    8192       5     0.000048013     0.000021071     0.000037274     0.000090153         5      104137.8 test_vector_to_py_list_multiple<long>[8192]
TEST:    0   16384       5     0.000090422     0.000018857     0.000080644     0.000128134         5       55296.5 test_vector_to_py_list_multiple<long>[16384]
TEST:    0   32768       5     0.000179729     0.000033495     0.000162520     0.000246716         5       27819.7 test_vector_to_py_list_multiple<long>[32768]
TEST:    0   65536       5     0.000358949     0.000063513     0.000325212     0.000485950         5       13929.6 test_vector_to_py_list_multiple<long>[65536]
TEST:    0  131072       5     0.000725407     0.000119757     0.000658807     0.000964163         5        6892.7 test_vector_to_py_list_multiple<long>[131072]
TEST:    0  262144       5     0.001457092     0.000287138     0.001282853     0.002028863         5        3431.5 test_vector_to_py_list_multiple<long>[262144]
TEST:    0  524288       5     0.003348930     0.000830463     0.002790035     0.004979000         5        1493.0 test_vector_to_py_list_multiple<long>[524288]
TEST:    0 1048576       5     0.005959358     0.001283826     0.005227726     0.008513263         5         839.0 test_vector_to_py_list_multiple<long>[1048576]
TEST:    0       1       5     0.000001420     0.000002706     0.000000061     0.000006833         5     3519887.4 test_vector_to_py_list_multiple<double>[1]
TEST:    0       2       5     0.000000097     0.000000044     0.000000067     0.000000183         5    51599587.2 test_vector_to_py_list_multiple<double>[2]
TEST:    0       4       5     0.000000157     0.000000120     0.000000080     0.000000396         5    31786395.4 test_vector_to_py_list_multiple<double>[4]
TEST:    0       8       5     0.000000260     0.000000270     0.000000125     0.000000801         5    19193858.0 test_vector_to_py_list_multiple<double>[8]
TEST:    0      16       5     0.000000271     0.000000175     0.000000172     0.000000619         5    18470631.7 test_vector_to_py_list_multiple<double>[16]
TEST:    0      32       5     0.000000406     0.000000249     0.000000272     0.000000904         5    12306177.7 test_vector_to_py_list_multiple<double>[32]
TEST:    0      64       5     0.000000590     0.000000174     0.000000497     0.000000938         5     8476012.9 test_vector_to_py_list_multiple<double>[64]
TEST:    0     128       5     0.000001839     0.000001322     0.000001120     0.000004482         5     2718129.9 test_vector_to_py_list_multiple<double>[128]
TEST:    0     256       5     0.000002839     0.000000629     0.000002490     0.000004096         5     1760997.4 test_vector_to_py_list_multiple<double>[256]
TEST:    0     512       5     0.000005762     0.000001157     0.000005163     0.000008076         5      867739.2 test_vector_to_py_list_multiple<double>[512]
TEST:    0    1024       5     0.000032929     0.000026914     0.000010532     0.000085485         5      151840.5 test_vector_to_py_list_multiple<double>[1024]
TEST:    0    2048       5     0.000024922     0.000007196     0.000020678     0.000039193         5      200630.0 test_vector_to_py_list_multiple<double>[2048]
TEST:    0    4096       5     0.000054805     0.000024663     0.000042391     0.000104129         5       91233.4 test_vector_to_py_list_multiple<double>[4096]
TEST:    0    8192       5     0.000093694     0.000015550     0.000085424     0.000124772         5       53365.2 test_vector_to_py_list_multiple<double>[8192]
TEST:    0   16384       5     0.000180210     0.000009170     0.000171902     0.000194719         5       27745.4 test_vector_to_py_list_multiple<double>[16384]
TEST:    0   32768       5     0.000459496     0.000092802     0.000387431     0.000628165         5       10881.5 test_vector_to_py_list_multiple<double>[32768]
TEST:    0   65536       5     0.000897720     0.000153618     0.000798764     0.001199180         5        5569.7 test_vector_to_py_list_multiple<double>[65536]
TEST:    0  131072       5     0.001803979     0.000407612     0.001534716     0.002613039         5        2771.7 test_vector_to_py_list_multiple<double>[131072]
TEST:    0  262144       5     0.005275449     0.000750610     0.004641809     0.006475774         5         947.8 test_vector_to_py_list_multiple<double>[262144]
TEST:    0  524288       5     0.011140470     0.000772561     0.010655053     0.012680139         5         448.8 test_vector_to_py_list_multiple<double>[524288]
TEST:    0 1048576       5     0.024708112     0.002438346     0.023068774     0.029467351         5         202.4 test_vector_to_py_list_multiple<double>[1048576]
TEST:    0       1       5     0.000001134     0.000002161     0.000000045     0.000005457         5     4408004.9 test_py_list_to_vector_multiple<bool>[1]
TEST:    0       2       5     0.000000076     0.000000041     0.000000053     0.000000158         5    65876152.8 test_py_list_to_vector_multiple<bool>[2]
TEST:    0       4       5     0.000000084     0.000000028     0.000000065     0.000000139         5    59737156.5 test_py_list_to_vector_multiple<bool>[4]
TEST:    0       8       5     0.000000113     0.000000026     0.000000095     0.000000163         5    44365572.3 test_py_list_to_vector_multiple<bool>[8]
TEST:    0      16       5     0.000000165     0.000000042     0.000000141     0.000000248         5    30211480.4 test_py_list_to_vector_multiple<bool>[16]
TEST:    0      32       5     0.000000253     0.000000024     0.000000234     0.000000300         5    19739439.4 test_py_list_to_vector_multiple<bool>[32]
TEST:    0      64       5     0.000000464     0.000000020     0.000000453     0.000000504         5    10773540.2 test_py_list_to_vector_multiple<bool>[64]
TEST:    0     128       5     0.000000876     0.000000024     0.000000859     0.000000921         5     5711022.3 test_py_list_to_vector_multiple<bool>[128]
TEST:    0     256       5     0.000001592     0.000000073     0.000001546     0.000001738         5     3140506.2 test_py_list_to_vector_multiple<bool>[256]
