/Users/paulross/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:     31.469 now:     31.547 diff:     +0.078 Peak was:     31.469 now:     31.547 diff:     +0.078 test_vector_to_py_tuple<bool>
RSS(Mb): was:     31.547 now:     31.547 diff:     +0.000 Peak was:     31.547 now:     31.547 diff:     +0.000 test_vector_to_py_tuple<long>
RSS(Mb): was:     31.547 now:     31.562 diff:     +0.016 Peak was:     31.547 now:     31.562 diff:     +0.016 test_vector_to_py_tuple<double>
RSS(Mb): was:     31.562 now:     31.562 diff:     +0.000 Peak was:     31.562 now:     31.562 diff:     +0.000 test_py_tuple_to_vector<bool>
RSS(Mb): was:     31.578 now:     31.594 diff:     +0.016 Peak was:     31.578 now:     31.594 diff:     +0.016 test_py_tuple_to_vector<long>
RSS(Mb): was:     31.594 now:     31.594 diff:     +0.000 Peak was:     31.594 now:     31.594 diff:     +0.000 test_py_tuple_to_vector<double>
RSS(Mb): was:     31.594 now:     31.594 diff:     +0.000 Peak was:     31.594 now:     31.594 diff:     +0.000 test_vector_to_py_tuple_round_trip<bool>
RSS(Mb): was:     31.594 now:     31.609 diff:     +0.016 Peak was:     31.594 now:     31.609 diff:     +0.016 test_vector_to_py_tuple_round_trip<long>
RSS(Mb): was:     31.609 now:     31.672 diff:     +0.062 Peak was:     31.609 now:     31.672 diff:     +0.062 test_vector_to_py_tuple_round_trip<double>
RSS(Mb): was:     31.672 now:     31.672 diff:     +0.000 Peak was:     31.672 now:     31.672 diff:     +0.000 test_py_tuple_to_vector_round_trip<bool>
RSS(Mb): was:     31.672 now:     31.781 diff:     +0.109 Peak was:     31.672 now:     31.781 diff:     +0.109 test_py_tuple_to_vector_round_trip<long>
RSS(Mb): was:     31.781 now:     31.828 diff:     +0.047 Peak was:     31.781 now:     31.828 diff:     +0.047 test_py_tuple_to_vector_round_trip<double>
RSS(Mb): was:     31.828 now:     32.219 diff:     +0.391 Peak was:     31.828 now:     32.219 diff:     +0.391 test_vector_string_to_py_tuple
RSS(Mb): was:     32.219 now:     32.250 diff:     +0.031 Peak was:     32.219 now:     32.250 diff:     +0.031 test_py_tuple_string_to_vector
RSS(Mb): was:     32.250 now:     32.438 diff:     +0.188 Peak was:     32.250 now:     32.438 diff:     +0.188 test_unordered_set_to_py_set<long>
RSS(Mb): was:     32.438 now:     32.453 diff:     +0.016 Peak was:     32.438 now:     32.453 diff:     +0.016 test_py_set_to_unordered_set<long>
RSS(Mb): was:     32.453 now:     32.719 diff:     +0.266 Peak was:     32.453 now:     32.719 diff:     +0.266 test_cpp_std_unordered_map_to_py_dict<double, double>
RSS(Mb): was:     32.719 now:     32.734 diff:     +0.016 Peak was:     32.719 now:     32.734 diff:     +0.016 test_py_dict_to_cpp_std_unordered_map<double, double>
====RSS(Mb): was:     31.203 now:     32.734 diff:     +1.531 Peak was:     31.203 now:     32.734 diff:     +1.531 ==== test_functional.cpp
RSS(Mb): was:     32.750 now:     54.172 diff:    +21.422 Peak was:     32.750 now:     54.172 diff:    +21.422 test_perf_vector_to_py_tuple<bool>
RSS(Mb): was:     54.172 now:    108.562 diff:    +54.391 Peak was:     54.172 now:    172.562 diff:   +118.391 test_perf_vector_to_py_tuple<long>
RSS(Mb): was:    108.578 now:    109.703 diff:     +1.125 Peak was:    172.562 now:    172.703 diff:     +0.141 test_perf_vector_to_py_tuple<double>
RSS(Mb): was:    109.703 now:    109.703 diff:     +0.000 Peak was:    172.703 now:    172.703 diff:     +0.000 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:    109.703 now:    152.312 diff:    +42.609 Peak was:    172.703 now:    215.312 diff:    +42.609 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:    152.312 now:    168.672 diff:    +16.359 Peak was:    215.312 now:    231.672 diff:    +16.359 test_perf_py_tuple_to_vector<double>
RSS(Mb): was:    168.672 now:    509.203 diff:   +340.531 Peak was:    231.672 now:   9402.656 diff:  +9170.984 test_perf_vector_string_to_py_tuple
RSS(Mb): was:    509.375 now:    606.109 diff:    +96.734 Peak was:   9402.656 now:   9457.078 diff:    +54.422 test_perf_py_tuple_string_to_vector
RSS(Mb): was:    606.125 now:    681.641 diff:    +75.516 Peak was:   9457.078 now:   9457.078 diff:     +0.000 test_perf_cpp_std_unordered_map_to_py_dict<double>
RSS(Mb): was:    681.641 now:     96.906 diff:   -584.719 Peak was:   9457.078 now:   9457.078 diff:     +0.000 test_perf_py_dict_to_cpp_std_unordered_map<double>
RSS(Mb): was:     96.938 now:    227.594 diff:   +130.672 Peak was:   9457.078 now:  11235.734 diff:  +1778.656 test_cpp_std_unordered_map_to_py_dict_string
RSS(Mb): was:    227.672 now:    502.031 diff:   +274.359 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_perf_vector_string_to_py_tuple_multiple
====RSS(Mb): was:     32.750 now:    502.062 diff:   +469.312 Peak was:     32.750 now:  11235.734 diff: +11202.984 ==== test_performance.cpp
RSS(Mb): was:    502.219 now:    504.406 diff:     +2.188 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_py_tuple
RSS(Mb): was:    504.406 now:    752.688 diff:   +248.281 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_py_dict
RSS(Mb): was:    752.688 now:    867.781 diff:   +115.094 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_vector_string_to_py_tuple(1024, 2048, 512, 1<<16)
====RSS(Mb): was:    502.219 now:    867.781 diff:   +365.562 Peak was:  11235.734 now:  11235.734 diff:     +0.000 ==== test_memory.cpp
Number of tests: 372
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0    1024       1     0.000003876             N/A             N/A             N/A         1      258031.2 test_vector_to_py_tuple<bool>
TEST:    0    1024       1     0.000011459             N/A             N/A             N/A         1       87263.8 test_vector_to_py_tuple<long>
TEST:    0    1024       1     0.000011792             N/A             N/A             N/A         1       84806.9 test_vector_to_py_tuple<double>
TEST:    0    1024       1     0.000008251             N/A             N/A             N/A         1      121204.8 test_py_tuple_to_vector<bool>
TEST:    0    1024       1     0.000010585             N/A             N/A             N/A         1       94477.8 test_py_tuple_to_vector<long>
TEST:    0    1024       1     0.000009543             N/A             N/A             N/A         1      104794.3 test_py_tuple_to_vector<double>
TEST:    0    1024       1     0.000011541             N/A             N/A             N/A         1       86643.9 test_vector_to_py_tuple_round_trip<bool>
TEST:    0    1024       1     0.000020958             N/A             N/A             N/A         1       47713.3 test_vector_to_py_tuple_round_trip<long>
TEST:    0    1024       1     0.000029251             N/A             N/A             N/A         1       34187.4 test_vector_to_py_tuple_round_trip<double>
TEST:    0    1024       1     0.000011626             N/A             N/A             N/A         1       86017.8 test_py_tuple_to_vector_round_trip<bool>
TEST:    0    1024       1     0.000026501             N/A             N/A             N/A         1       37735.1 test_py_tuple_to_vector_round_trip<long>
TEST:    0    1024       1     0.000025501             N/A             N/A             N/A         1       39214.9 test_py_tuple_to_vector_round_trip<double>
TEST:    0    1024       1     0.000023416             N/A             N/A             N/A         1       42704.9 test_vector_string_to_py_tuple<std::string[32]>():[1024]
TEST:    0    1024       1     0.000059334             N/A             N/A             N/A         1       16853.6 test_py_tuple_string_to_vector<std::string[32]>():[1024]
TEST:    0    1024       1     0.000042875             N/A             N/A             N/A         1       23323.3 test_unordered_set_to_py_set<long>
TEST:    0    1024       1     0.000066126             N/A             N/A             N/A         1       15122.8 test_py_set_to_unordered_set<long>
TEST:    0    1024       1     0.000099041             N/A             N/A             N/A         1       10096.8 test_cpp_std_unordered_map_to_py_dict<double>
TEST:    0    1024       1     0.000700543             N/A             N/A             N/A         1        1427.5 test_py_dict_to_cpp_std_unordered_map<double>
TEST:    0       2       1     0.000000417             N/A             N/A             N/A         1     2400960.4 test_vector_to_py_tuple<bool>
TEST:    0       8       1     0.000000209             N/A             N/A             N/A         1     4773269.7 test_vector_to_py_tuple<bool>
TEST:    0      32       1     0.000000460             N/A             N/A             N/A         1     2176278.6 test_vector_to_py_tuple<bool>
TEST:    0     128       1     0.000000625             N/A             N/A             N/A         1     1598721.0 test_vector_to_py_tuple<bool>
TEST:    0     512       1     0.000001876             N/A             N/A             N/A         1      533191.1 test_vector_to_py_tuple<bool>
TEST:    0    2048       1     0.000006875             N/A             N/A             N/A         1      145444.0 test_vector_to_py_tuple<bool>
TEST:    0    8192       1     0.000043001             N/A             N/A             N/A         1       23255.5 test_vector_to_py_tuple<bool>
TEST:    0   32768       1     0.000170208             N/A             N/A             N/A         1        5875.1 test_vector_to_py_tuple<bool>
TEST:    0  131072       1     0.000686543             N/A             N/A             N/A         1        1456.6 test_vector_to_py_tuple<bool>
TEST:    0  524288       1     0.002676793             N/A             N/A             N/A         1         373.6 test_vector_to_py_tuple<bool>
TEST:    0       2       1     0.000001417             N/A             N/A             N/A         1      705467.4 test_vector_to_py_tuple<long>
TEST:    0       8       1     0.000000334             N/A             N/A             N/A         1     2989536.6 test_vector_to_py_tuple<long>
TEST:    0      32       1     0.000001210             N/A             N/A             N/A         1      826787.9 test_vector_to_py_tuple<long>
TEST:    0     128       1     0.000001751             N/A             N/A             N/A         1      571265.4 test_vector_to_py_tuple<long>
TEST:    0     512       1     0.000005292             N/A             N/A             N/A         1      188982.3 test_vector_to_py_tuple<long>
TEST:    0    2048       1     0.000027125             N/A             N/A             N/A         1       36865.7 test_vector_to_py_tuple<long>
TEST:    0    8192       1     0.000162668             N/A             N/A             N/A         1        6147.5 test_vector_to_py_tuple<long>
TEST:    0   32768       1     0.000658542             N/A             N/A             N/A         1        1518.5 test_vector_to_py_tuple<long>
TEST:    0  131072       1     0.002725418             N/A             N/A             N/A         1         366.9 test_vector_to_py_tuple<long>
TEST:    0  524288       1     0.011011335             N/A             N/A             N/A         1          90.8 test_vector_to_py_tuple<long>
TEST:    0       2       1     0.000002042             N/A             N/A             N/A         1      489596.1 test_vector_to_py_tuple<double>
TEST:    0       8       1     0.000000293             N/A             N/A             N/A         1     3418803.4 test_vector_to_py_tuple<double>
TEST:    0      32       1     0.000001084             N/A             N/A             N/A         1      922083.9 test_vector_to_py_tuple<double>
TEST:    0     128       1     0.000001876             N/A             N/A             N/A         1      533191.1 test_vector_to_py_tuple<double>
TEST:    0     512       1     0.000005751             N/A             N/A             N/A         1      173897.9 test_vector_to_py_tuple<double>
TEST:    0    2048       1     0.000023708             N/A             N/A             N/A         1       42179.0 test_vector_to_py_tuple<double>
TEST:    0    8192       1     0.000220334             N/A             N/A             N/A         1        4538.6 test_vector_to_py_tuple<double>
TEST:    0   32768       1     0.000537334             N/A             N/A             N/A         1        1861.0 test_vector_to_py_tuple<double>
TEST:    0  131072       1     0.002324334             N/A             N/A             N/A         1         430.2 test_vector_to_py_tuple<double>
TEST:    0  524288       1     0.009750167             N/A             N/A             N/A         1         102.6 test_vector_to_py_tuple<double>
TEST:    0       2       1     0.000000750             N/A             N/A             N/A         1     1332445.0 test_py_tuple_to_vector<bool>
TEST:    0       8       1     0.000000168             N/A             N/A             N/A         1     5970149.3 test_py_tuple_to_vector<bool>
TEST:    0      32       1     0.000000293             N/A             N/A             N/A         1     3418803.4 test_py_tuple_to_vector<bool>
TEST:    0     128       1     0.000001292             N/A             N/A             N/A         1      774293.5 test_py_tuple_to_vector<bool>
TEST:    0     512       1     0.000004042             N/A             N/A             N/A         1      247371.7 test_py_tuple_to_vector<bool>
TEST:    0    2048       1     0.000017001             N/A             N/A             N/A         1       58821.8 test_py_tuple_to_vector<bool>
TEST:    0    8192       1     0.000064501             N/A             N/A             N/A         1       15503.8 test_py_tuple_to_vector<bool>
TEST:    0   32768       1     0.000258333             N/A             N/A             N/A         1        3871.0 test_py_tuple_to_vector<bool>
