      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      18.930560    CALL     tests/unit/test_with_pymemtrace.py  52 _test_new_str                        35639296     35639296
PREV: 54           +54     18.930688    RETURN   venv/lib/python3.12/site-packages/psutil/_common.py 506 wrapper                              35639296            0
NEXT: 55           +55     19.183809    C_CALL   tests/unit/test_with_pymemtrace.py  59 perf_counter                       1109385216   1073745920
PREV: 57           +2      19.183824    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109385216            0
NEXT: 58           +3      19.991712    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          1583411200    474025984
NEXT: 59           +1      20.010126    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                        896720896   -686690304
PREV: 65           +6      20.010152    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                           896720896            0
NEXT: 66           +7      20.912173    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          1844817920    948097024
NEXT: 67           +1      20.944663    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1023909888   -820908032
PREV: 73           +6      20.944700    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1023909888            0
NEXT: 74           +7      21.650802    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1159204864
NEXT: 75           +1      21.682334    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 81           +6      21.682372    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 82           +7      22.344913    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 83           +1      22.383956    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 89           +6      22.384038    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 90           +7      23.041801    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 91           +1      23.070973    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 97           +6      23.070998    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 98           +7      23.705373    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 99           +1      23.731173    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 105          +6      23.731199    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 106          +7      24.361339    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 107          +1      24.389661    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 113          +6      24.389687    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 114          +7      25.030719    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 115          +1      25.061596    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 121          +6      25.061627    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 122          +7      25.696377    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 123          +1      25.723485    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 129          +6      25.723513    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str16                          1109368832            0
NEXT: 130          +7      26.358845    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str16                          2183114752   1073745920
NEXT: 131          +1      26.385654    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109368832  -1073745920
PREV: 171          +40     26.385844    RETURN   tests/unit/test_with_pymemtrace.py  65 _test_new_str                      1109368832            0
NEXT: 172          +41     26.415275    C_CALL   tests/unit/test_with_pymemtrace.py  83 __exit__                             35622912  -1073745920
