      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1716.627866  CALL     test_with_pymemtrace.py#  22 _test_new_list_bool                 328974336    328974336
NEXT: 1            +1      1716.627896  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/__init__.py# 318 __init__                            328994816        20480
NEXT: 2            +1      1716.627904  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/__init__.py# 321 _init                               328998912         4096
NEXT: 3            +1      1716.627908  C_CALL   cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/__init__.py# 323 getpid                              329007104         8192
PREV: 5            +2      1716.627916  CALL     /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py  # 122 RLock                               329007104            0
NEXT: 6            +3      1716.627930  RETURN   /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py  # 139 RLock                               329019392        12288
PREV: 10           +4      1716.627943  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_psosx.py# 346 wrapper                             329019392            0
NEXT: 11           +5      1716.627947  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_psosx.py# 475 create_time                         329023488         4096
PREV: 13           +2      1716.627955  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_common.py# 498 wrapper                             329023488            0
NEXT: 14           +3      1716.627964  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_psosx.py# 371 _get_kinfo_proc                     329031680         8192
NEXT: 15           +1      1716.627966  C_CALL   cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_psosx.py# 375 proc_kinfo_oneshot                  329035776         4096
PREV: 32           +17     1716.628015  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/__init__.py#1098 memory_info                         329035776            0
NEXT: 33           +18     1716.628018  CALL     cPyCppContainers_3.13/lib/python3.13/site-packages/psutil/_psosx.py# 346 wrapper                             329039872         4096
PREV: 56           +23     1716.628073  C_RETURN test_with_pymemtrace.py#  26 print                               329039872            0
NEXT: 57           +24     1716.917432  C_CALL   test_with_pymemtrace.py#  30 perf_counter                        285315072    -43724800
NEXT: 58           +1      1716.917447  C_RETURN test_with_pymemtrace.py#  30 perf_counter                        285319168         4096
PREV: 59           +1      1716.917450  C_CALL   test_with_pymemtrace.py#  31 new_list_vector_bool                285319168            0
NEXT: 60           +2      1717.103348  C_RETURN test_with_pymemtrace.py#  31 new_list_vector_bool                449708032    164388864
PREV: 64           +4      1717.124182  C_RETURN test_with_pymemtrace.py#  33 append                              449708032            0
