/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.227 now:    173.137 diff:   +167.910 Peak was:      5.227 now:   9187.414 diff:  +9182.188 test_perf_py_tuple_string_to_vector
====RSS(Mb): was:      5.227 now:    173.137 diff:   +167.910 Peak was:      5.227 now:   9187.414 diff:  +9182.188 ==== test_performance.cpp
Number of tests: 200
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       2       1     0.000006396             N/A             N/A             N/A         1      156359.9 test_py_tuple_string_to_vector<std::string[8]>():[2]
TEST:    0       4       1     0.000000230             N/A             N/A             N/A         1     4357298.5 test_py_tuple_string_to_vector<std::string[8]>():[4]
TEST:    0       8       1     0.000000244             N/A             N/A             N/A         1     4089979.6 test_py_tuple_string_to_vector<std::string[8]>():[8]
TEST:    0      16       1     0.000000683             N/A             N/A             N/A         1     1463057.8 test_py_tuple_string_to_vector<std::string[8]>():[16]
TEST:    0      32       1     0.000000638             N/A             N/A             N/A         1     1568627.5 test_py_tuple_string_to_vector<std::string[8]>():[32]
TEST:    0      64       1     0.000001262             N/A             N/A             N/A         1      792079.2 test_py_tuple_string_to_vector<std::string[8]>():[64]
TEST:    0     128       1     0.000001898             N/A             N/A             N/A         1      526731.6 test_py_tuple_string_to_vector<std::string[8]>():[128]
TEST:    0     256       1     0.000003831             N/A             N/A             N/A         1      261062.5 test_py_tuple_string_to_vector<std::string[8]>():[256]
TEST:    0     512       1     0.000013046             N/A             N/A             N/A         1       76648.9 test_py_tuple_string_to_vector<std::string[8]>():[512]
TEST:    0    1024       1     0.000022648             N/A             N/A             N/A         1       44153.0 test_py_tuple_string_to_vector<std::string[8]>():[1024]
TEST:    0    2048       1     0.000028617             N/A             N/A             N/A         1       34943.7 test_py_tuple_string_to_vector<std::string[8]>():[2048]
TEST:    0    4096       1     0.000096965             N/A             N/A             N/A         1       10312.9 test_py_tuple_string_to_vector<std::string[8]>():[4096]
TEST:    0    8192       1     0.000202417             N/A             N/A             N/A         1        4940.3 test_py_tuple_string_to_vector<std::string[8]>():[8192]
TEST:    0   16384       1     0.000358843             N/A             N/A             N/A         1        2786.7 test_py_tuple_string_to_vector<std::string[8]>():[16384]
TEST:    0   32768       1     0.000765780             N/A             N/A             N/A         1        1305.9 test_py_tuple_string_to_vector<std::string[8]>():[32768]
TEST:    0   65536       1     0.001521810             N/A             N/A             N/A         1         657.1 test_py_tuple_string_to_vector<std::string[8]>():[65536]
TEST:    0  131072       1     0.003018528             N/A             N/A             N/A         1         331.3 test_py_tuple_string_to_vector<std::string[8]>():[131072]
TEST:    0  262144       1     0.005636517             N/A             N/A             N/A         1         177.4 test_py_tuple_string_to_vector<std::string[8]>():[262144]
TEST:    0  524288       1     0.013432593             N/A             N/A             N/A         1          74.4 test_py_tuple_string_to_vector<std::string[8]>():[524288]
TEST:    0 1048576       1     0.025518006             N/A             N/A             N/A         1          39.2 test_py_tuple_string_to_vector<std::string[8]>():[1048576]
TEST:    0       2       1     0.000000461             N/A             N/A             N/A         1     2166847.2 test_py_tuple_string_to_vector<std::string[16]>():[2]
TEST:    0       4       1     0.000000194             N/A             N/A             N/A         1     5167958.7 test_py_tuple_string_to_vector<std::string[16]>():[4]
TEST:    0       8       1     0.000000600             N/A             N/A             N/A         1     1668056.7 test_py_tuple_string_to_vector<std::string[16]>():[8]
TEST:    0      16       1     0.000000349             N/A             N/A             N/A         1     2861230.3 test_py_tuple_string_to_vector<std::string[16]>():[16]
TEST:    0      32       1     0.000000574             N/A             N/A             N/A         1     1740644.0 test_py_tuple_string_to_vector<std::string[16]>():[32]
TEST:    0      64       1     0.000002148             N/A             N/A             N/A         1      465657.7 test_py_tuple_string_to_vector<std::string[16]>():[64]
TEST:    0     128       1     0.000002197             N/A             N/A             N/A         1      455269.7 test_py_tuple_string_to_vector<std::string[16]>():[128]
TEST:    0     256       1     0.000003696             N/A             N/A             N/A         1      270599.4 test_py_tuple_string_to_vector<std::string[16]>():[256]
TEST:    0     512       1     0.000015272             N/A             N/A             N/A         1       65477.2 test_py_tuple_string_to_vector<std::string[16]>():[512]
TEST:    0    1024       1     0.000023437             N/A             N/A             N/A         1       42668.5 test_py_tuple_string_to_vector<std::string[16]>():[1024]
TEST:    0    2048       1     0.000050752             N/A             N/A             N/A         1       19703.5 test_py_tuple_string_to_vector<std::string[16]>():[2048]
TEST:    0    4096       1     0.000102033             N/A             N/A             N/A         1        9800.7 test_py_tuple_string_to_vector<std::string[16]>():[4096]
TEST:    0    8192       1     0.000114549             N/A             N/A             N/A         1        8729.9 test_py_tuple_string_to_vector<std::string[16]>():[8192]
TEST:    0   16384       1     0.000403076             N/A             N/A             N/A         1        2480.9 test_py_tuple_string_to_vector<std::string[16]>():[16384]
TEST:    0   32768       1     0.000824890             N/A             N/A             N/A         1        1212.3 test_py_tuple_string_to_vector<std::string[16]>():[32768]
TEST:    0   65536       1     0.001522818             N/A             N/A             N/A         1         656.7 test_py_tuple_string_to_vector<std::string[16]>():[65536]
TEST:    0  131072       1     0.002999568             N/A             N/A             N/A         1         333.4 test_py_tuple_string_to_vector<std::string[16]>():[131072]
TEST:    0  262144       1     0.006698587             N/A             N/A             N/A         1         149.3 test_py_tuple_string_to_vector<std::string[16]>():[262144]
TEST:    0  524288       1     0.013476738             N/A             N/A             N/A         1          74.2 test_py_tuple_string_to_vector<std::string[16]>():[524288]
TEST:    0 1048576       1     0.028356537             N/A             N/A             N/A         1          35.3 test_py_tuple_string_to_vector<std::string[16]>():[1048576]
TEST:    0       2       1     0.000000735             N/A             N/A             N/A         1     1361470.4 test_py_tuple_string_to_vector<std::string[32]>():[2]
TEST:    0       4       1     0.000000488             N/A             N/A             N/A         1     2047082.9 test_py_tuple_string_to_vector<std::string[32]>():[4]
TEST:    0       8       1     0.000000760             N/A             N/A             N/A         1     1314924.4 test_py_tuple_string_to_vector<std::string[32]>():[8]
TEST:    0      16       1     0.000001317             N/A             N/A             N/A         1      759589.8 test_py_tuple_string_to_vector<std::string[32]>():[16]
TEST:    0      32       1     0.000002475             N/A             N/A             N/A         1      403958.8 test_py_tuple_string_to_vector<std::string[32]>():[32]
TEST:    0      64       1     0.000011030             N/A             N/A             N/A         1       90665.9 test_py_tuple_string_to_vector<std::string[32]>():[64]
TEST:    0     128       1     0.000011289             N/A             N/A             N/A         1       88577.9 test_py_tuple_string_to_vector<std::string[32]>():[128]
TEST:    0     256       1     0.000022012             N/A             N/A             N/A         1       45430.8 test_py_tuple_string_to_vector<std::string[32]>():[256]
TEST:    0     512       1     0.000059061             N/A             N/A             N/A         1       16931.8 test_py_tuple_string_to_vector<std::string[32]>():[512]
TEST:    0    1024       1     0.000096933             N/A             N/A             N/A         1       10316.4 test_py_tuple_string_to_vector<std::string[32]>():[1024]
TEST:    0    2048       1     0.000203483             N/A             N/A             N/A         1        4914.4 test_py_tuple_string_to_vector<std::string[32]>():[2048]
TEST:    0    4096       1     0.000363374             N/A             N/A             N/A         1        2752.0 test_py_tuple_string_to_vector<std::string[32]>():[4096]
TEST:    0    8192       1     0.000647018             N/A             N/A             N/A         1        1545.6 test_py_tuple_string_to_vector<std::string[32]>():[8192]
TEST:    0   16384       1     0.001533399             N/A             N/A             N/A         1         652.1 test_py_tuple_string_to_vector<std::string[32]>():[16384]
TEST:    0   32768       1     0.003000196             N/A             N/A             N/A         1         333.3 test_py_tuple_string_to_vector<std::string[32]>():[32768]
TEST:    0   65536       1     0.005372783             N/A             N/A             N/A         1         186.1 test_py_tuple_string_to_vector<std::string[32]>():[65536]
TEST:    0  131072       1     0.011174659             N/A             N/A             N/A         1          89.5 test_py_tuple_string_to_vector<std::string[32]>():[131072]
TEST:    0  262144       1     0.021066381             N/A             N/A             N/A         1          47.5 test_py_tuple_string_to_vector<std::string[32]>():[262144]
TEST:    0  524288       1     0.041440294             N/A             N/A             N/A         1          24.1 test_py_tuple_string_to_vector<std::string[32]>():[524288]
TEST:    0 1048576       1     0.085910141             N/A             N/A             N/A         1          11.6 test_py_tuple_string_to_vector<std::string[32]>():[1048576]
TEST:    0       2       1     0.000000690             N/A             N/A             N/A         1     1450326.3 test_py_tuple_string_to_vector<std::string[64]>():[2]
TEST:    0       4       1     0.000000437             N/A             N/A             N/A         1     2285714.3 test_py_tuple_string_to_vector<std::string[64]>():[4]
TEST:    0       8       1     0.000000670             N/A             N/A             N/A         1     1493652.0 test_py_tuple_string_to_vector<std::string[64]>():[8]
TEST:    0      16       1     0.000001489             N/A             N/A             N/A         1      671817.3 test_py_tuple_string_to_vector<std::string[64]>():[16]
TEST:    0      32       1     0.000003717             N/A             N/A             N/A         1      268998.0 test_py_tuple_string_to_vector<std::string[64]>():[32]
