/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.242 now:     21.328 diff:    +16.086 Peak was:      5.242 now:     21.328 diff:    +16.086 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:     21.328 now:     17.492 diff:     -3.836 Peak was:     21.328 now:     61.934 diff:    +40.605 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:     17.492 now:     17.754 diff:     +0.262 Peak was:     61.934 now:     61.945 diff:     +0.012 test_perf_py_tuple_to_vector<double>
====RSS(Mb): was:      5.242 now:     17.754 diff:    +12.512 Peak was:      5.242 now:     61.945 diff:    +56.703 ==== test_performance.cpp
Number of tests: 60
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       2       1     0.000006281             N/A             N/A             N/A         1      159223.0 test_py_tuple_to_vector<bool>
TEST:    0       4       1     0.000000190             N/A             N/A             N/A         1     5249343.8 test_py_tuple_to_vector<bool>
TEST:    0       8       1     0.000000182             N/A             N/A             N/A         1     5509641.9 test_py_tuple_to_vector<bool>
TEST:    0      16       1     0.000000228             N/A             N/A             N/A         1     4376367.6 test_py_tuple_to_vector<bool>
TEST:    0      32       1     0.000000329             N/A             N/A             N/A         1     3034901.4 test_py_tuple_to_vector<bool>
TEST:    0      64       1     0.000000553             N/A             N/A             N/A         1     1806684.7 test_py_tuple_to_vector<bool>
TEST:    0     128       1     0.000005530             N/A             N/A             N/A         1      180848.2 test_py_tuple_to_vector<bool>
TEST:    0     256       1     0.000002222             N/A             N/A             N/A         1      449943.8 test_py_tuple_to_vector<bool>
TEST:    0     512       1     0.000004027             N/A             N/A             N/A         1      248354.7 test_py_tuple_to_vector<bool>
TEST:    0    1024       1     0.000007777             N/A             N/A             N/A         1      128576.0 test_py_tuple_to_vector<bool>
TEST:    0    2048       1     0.000014835             N/A             N/A             N/A         1       67410.4 test_py_tuple_to_vector<bool>
TEST:    0    4096       1     0.000028508             N/A             N/A             N/A         1       35077.3 test_py_tuple_to_vector<bool>
