/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.230 now:    182.867 diff:   +177.637 Peak was:      5.230 now:   8191.242 diff:  +8186.012 test_perf_py_tuple_string_to_vector
====RSS(Mb): was:      5.230 now:    182.895 diff:   +177.664 Peak was:      5.230 now:   8191.242 diff:  +8186.012 ==== test_performance.cpp
Number of tests: 200
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       2       1     0.000010412             N/A             N/A             N/A         1       96047.6 test_py_tuple_string_to_vector<std::string[8]>():[2]
TEST:    0       4       1     0.000000543             N/A             N/A             N/A         1     1839926.4 test_py_tuple_string_to_vector<std::string[8]>():[4]
TEST:    0       8       1     0.000000726             N/A             N/A             N/A         1     1376462.5 test_py_tuple_string_to_vector<std::string[8]>():[8]
TEST:    0      16       1     0.000000894             N/A             N/A             N/A         1     1119194.2 test_py_tuple_string_to_vector<std::string[8]>():[16]
TEST:    0      32       1     0.000001183             N/A             N/A             N/A         1      844951.4 test_py_tuple_string_to_vector<std::string[8]>():[32]
TEST:    0      64       1     0.000001960             N/A             N/A             N/A         1      510334.3 test_py_tuple_string_to_vector<std::string[8]>():[64]
TEST:    0     128       1     0.000002898             N/A             N/A             N/A         1      345125.1 test_py_tuple_string_to_vector<std::string[8]>():[128]
TEST:    0     256       1     0.000006277             N/A             N/A             N/A         1      159299.1 test_py_tuple_string_to_vector<std::string[8]>():[256]
TEST:    0     512       1     0.000014476             N/A             N/A             N/A         1       69077.5 test_py_tuple_string_to_vector<std::string[8]>():[512]
TEST:    0    1024       1     0.000026630             N/A             N/A             N/A         1       37550.9 test_py_tuple_string_to_vector<std::string[8]>():[1024]
TEST:    0    2048       1     0.000031690             N/A             N/A             N/A         1       31556.2 test_py_tuple_string_to_vector<std::string[8]>():[2048]
TEST:    0    4096       1     0.000093848             N/A             N/A             N/A         1       10655.5 test_py_tuple_string_to_vector<std::string[8]>():[4096]
TEST:    0    8192       1     0.000200393             N/A             N/A             N/A         1        4990.2 test_py_tuple_string_to_vector<std::string[8]>():[8192]
TEST:    0   16384       1     0.000587759             N/A             N/A             N/A         1        1701.4 test_py_tuple_string_to_vector<std::string[8]>():[16384]
TEST:    0   32768       1     0.000852562             N/A             N/A             N/A         1        1172.9 test_py_tuple_string_to_vector<std::string[8]>():[32768]
